time,x,y,z,vx,vy,vz,w,qx,qy,qz,ox,oy,oz,fuel
9.0000,1720.2582,3295.6448,7.9448,122.85847,126.72652,12.89468,0.707791,0.531026,0.210098,0.415814,1.49360,-0.27058,0.11571,4864.799
9.2500,1750.9154,3327.2320,11.6740,122.62057,125.78209,16.93302,0.591478,0.675385,0.254384,0.359580,1.63891,-0.27841,0.12942,4863.322
9.5000,1781.6747,3358.4459,16.3798,123.65058,123.76336,20.59864,0.435710,0.802597,0.292560,0.283553,1.80704,-0.28145,0.15911,4861.851
9.7500,1812.8311,3389.0340,21.9053,125.76740,120.78866,23.43776,0.239569,0.897690,0.318138,0.188541,1.96770,-0.27809,0.18086,4860.385
10.0000,1844.6330,3418.7720,27.9922,128.76769,117.00834,24.99386,0.013152,0.941811,0.326896,0.077195,2.08010,-0.27676,0.17270,4858.924
10.2500,1877.2491,3447.5123,34.2486,132.16495,112.93132,24.72445,-0.223852,0.920952,0.316055,-0.042968,2.15202,-0.28018,0.15178,4857.469
10.5000,1910.6828,3475.2815,40.1919,135.17575,109.37465,22.52445,-0.450649,0.830487,0.284693,-0.161731,2.14211,-0.28151,0.12327,4856.019
10.7500,1944.7461,3502.3006,45.3900,137.10540,107.01890,18.89588,-0.636145,0.684698,0.238945,-0.263464,2.00107,-0.28329,0.07746,4854.574
11.0000,1979.1119,3528.9197,49.6057,137.56792,106.19074,14.86094,-0.771017,0.504260,0.186254,-0.341415,1.87630,-0.28810,0.03902,4853.135
11.2500,2013.4122,3555.5117,52.8856,136.63073,106.73796,11.59380,-0.856968,0.304740,0.130300,-0.394666,1.77764,-0.29185,0.00837,4851.701
11.5000,2047.3461,3582.3602,55.5374,134.72224,108.14159,9.92617,-0.897397,0.098747,0.073468,-0.423710,1.69455,-0.29346,-0.01558,4850.274
11.7500,2080.7383,3609.6013,58.0099,132.39604,109.76959,10.18101,-0.896401,-0.104740,0.017294,-0.430343,1.64583,-0.29706,-0.03042,4848.851
12.0000,2113.5599,3637.2087,60.7851,130.25498,110.96669,12.31058,-0.857027,-0.300271,-0.037456,-0.417061,1.62182,-0.30145,-0.03278,4847.433
12.2500,2145.9184,3664.9913,64.2757,128.75116,111.07607,15.60999,-0.823365,-0.399387,-0.050391,-0.400025,0.16110,-0.24492,0.09542,4846.246
12.5000,2177.9296,3692.6971,68.6190,127.07227,110.62933,19.44801,-0.805810,-0.424867,-0.021808,-0.411926,0.12011,-0.20377,0.29731,4845.386
12.7500,2209.3191,3720.3207,74.1468,123.91860,110.30535,24.89172,-0.786050,-0.448206,0.002014,-0.425714,0.15885,-0.15674,0.18859,4844.724
13.0000,2239.8629,3747.8124,81.0825,120.40893,109.55118,30.60019,-0.766671,-0.472403,0.015417,-0.434525,0.19025,-0.11695,0.16039,4844.183
13.2500,2269.5142,3775.0589,89.4493,116.78464,108.34741,36.33881,-0.745114,-0.496843,0.023820,-0.444280,0.21835,-0.08933,0.16821,4843.715
13.5000,2298.2493,3801.9485,99.2527,113.08828,106.69199,42.08753,-0.720025,-0.522332,0.028831,-0.455962,0.25515,-0.06991,0.17892,4843.292
13.7500,2326.0548,3828.3660,110.4921,109.34848,104.56868,47.82588,-0.690896,-0.549464,0.030992,-0.468819,0.28887,-0.06126,0.18669,4842.897
14.0000,2352.9210,3854.1917,123.1647,105.58269,101.95216,53.54827,-0.658588,-0.577265,0.032091,-0.481661,0.29452,-0.06393,0.19412,4842.520
14.2500,2378.8516,3879.2988,137.2574,101.88030,98.81874,59.16533,-0.625175,-0.603308,0.034928,-0.493919,0.27059,-0.07026,0.20654,4842.153
14.5000,2403.8706,3903.5596,152.7313,98.28534,95.18733,64.59431,-0.591784,-0.626379,0.040917,-0.505734,0.24205,-0.07640,0.22029,4841.793
14.7500,2427.9979,3926.8532,169.5400,94.73937,91.08485,69.84334,-0.558758,-0.646658,0.050034,-0.516836,0.21551,-0.08432,0.23004,4841.439
15.0000,2451.2463,3949.0657,187.6326,91.26498,86.54727,74.84934,-0.525754,-0.664845,0.061751,-0.527021,0.20259,-0.09116,0.24162,4841.087
