time,x,y,z,vx,vy,vz,w,qx,qy,qz,ox,oy,oz,fuel
8.7500,1740.5656,3227.1065,2.5863,143.34924,119.06072,10.12098,0.761492,0.493672,0.148239,0.392991,1.78922,-0.42989,0.19312,4872.795
9.0000,1776.2447,3256.8201,5.8885,142.38208,118.24033,16.45866,0.624173,0.678846,0.179953,0.342335,1.88437,-0.42594,0.24078,4871.693
9.2500,1811.9115,3286.0074,10.8454,143.26611,114.79746,23.14681,0.445294,0.828534,0.199784,0.274463,1.88523,-0.42490,0.28166,4870.595
9.5000,1848.0317,3313.9810,17.3837,145.98660,108.52558,28.87395,0.242193,0.928820,0.204121,0.192276,1.83729,-0.43510,0.28322,4869.503
9.7500,1885.0242,3340.0847,25.0602,150.11741,100.06500,31.96601,0.030079,0.974921,0.197599,0.097875,1.82816,-0.45107,0.25826,4868.415
10.0000,1923.1268,3363.9679,33.0493,154.68626,91.04480,31.28924,-0.185129,0.965615,0.182492,-0.003499,1.81457,-0.44754,0.24073,4867.334
10.2500,1962.3172,3385.6831,40.3917,158.66152,82.91910,26.88606,-0.376879,0.906884,0.160028,-0.099571,1.62667,-0.41763,0.21087,4866.257
10.5000,2002.3414,3405.5865,46.2603,161.25926,76.69944,19.73414,-0.532833,0.815324,0.136102,-0.181144,1.46924,-0.37791,0.13475,4865.185
10.7500,2042.8063,3424.2571,50.1902,162.19939,73.12804,11.74369,-0.660483,0.700464,0.116750,-0.243890,1.39347,-0.33933,0.03480,4864.118
11.0000,2083.3328,3442.3630,52.2129,161.84339,72.08762,4.68799,-0.765826,0.566799,0.099332,-0.287024,1.36877,-0.29097,-0.04365,4863.054
11.2500,2123.6693,3460.4489,52.6897,160.78051,72.81955,-0.52239,-0.850213,0.417095,0.078741,-0.311401,1.38134,-0.23590,-0.09430,4861.994
11.5000,2163.7067,3478.8487,52.1269,159.51086,74.47361,-3.65021,-0.911263,0.254041,0.050659,-0.320152,1.41505,-0.17993,-0.10767,4860.936
11.7500,2203.4281,3497.7134,51.0141,158.27872,76.46698,-4.97959,-0.944930,0.077461,0.013275,-0.317696,1.51882,-0.15025,-0.09111,4859.879
12.0000,2242.8605,3517.0787,49.7687,157.22266,78.41635,-4.72088,-0.943804,-0.118971,-0.031150,-0.306772,1.70158,-0.16975,-0.05318,4858.825
12.2500,2282.0630,3536.8630,48.7693,156.43654,79.68180,-3.18789,-0.928124,-0.215316,-0.041471,-0.300841,0.03538,-0.13887,0.13640,4857.915
